country_iso3,decision_date,policy_rate_pct,change_bps,decision,source_url,date_retrieved
KEN,2023-03-29,9.50,,MPC raised the Central Bank Rate (CBR) to 9.50%.,https://www.centralbank.go.ke/2023/03/29/mpc-raises-cbr-to-9-50-percent/,2026-09-08
KEN,2024-02-06,13.00,50,MPC raised the CBR by 50bps to 13.00%.,https://kenyanwallstreet.com/cbk-hikes-benchmark-rate-to-13,2026-09-08
MWI,2025-10-29,26.00,0,"RBM MPC held the policy rate at 26.0%, its 4th MPC meeting of 2025.",https://www.facebook.com/Malawi24/photos/mpc-holds-policy-rate-at-26-as-inflation-pressures-persistthe-reserve-bank-of-ma/1276346411190950/,2026-09-08
MWI,2026-08-06,24.00,,RBM policy rate maintained at 24.0% as inflation pressures eased.,https://malawi24.com/2026/08/06/policy-rate-maintained-at-24/,2026-09-08
ZWE,2026-06-15,30.00,-500,"RBZ cut the bank policy rate from 35% to 30%, the first cut since the ZiG launch in April 2024; Targeted Finance Facility rate cut from 20% to 15% simultaneously.",https://www.heraldonline.co.zw/rbz-slashes-policy-rate-to-30-percent-in-first-cut-since-zig-launch/,2026-09-08
