country_iso3,country_name,total_expatriates_2020_2025,global_rank_2020_2025,source,source_url,date_retrieved,notes
NGA,Nigeria,926,8,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,Only African nation with a full year-by-year trend and destination breakdown given in this report; see cies_nigeria_trend.csv and cies_nigeria_destinations.csv.
GHA,Ghana,677,14,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,Aggregate 2020-2025 total only - the report gives no year-by-year breakdown or destination detail for this nationality.
SEN,Senegal,511,18,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,Aggregate 2020-2025 total only - the report gives no year-by-year breakdown or destination detail for this nationality.
CIV,Cote d'Ivoire,484,20,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,Aggregate 2020-2025 total only - the report gives no year-by-year breakdown or destination detail for this nationality.
CMR,Cameroon,327,31,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,Aggregate 2020-2025 total only - the report gives no year-by-year breakdown or destination detail for this nationality.
