country_iso3,destination_country,expatriate_count,period,is_big5_league_country,source,source_url,date_retrieved,notes
NGA,Czech Republic,65,2020-2025,false,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,Top single destination for Nigerian expatriates in this window.
NGA,Turkey,59,2020-2025,false,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,
NGA,Israel,53,2020-2025,false,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,
NGA,Portugal,53,2020-2025,false,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,
NGA,Slovakia,52,2020-2025,false,CIES Football Observatory Monthly Report 100 (Football Expatriates 2020-2025),https://football-observatory.hflip.co/MonthlyReport100,2026-09-09,"None of Nigeria's top 5 listed destinations are in a 'Big 5' European league (England/Spain/Italy/Germany/France) - the report gives no comprehensive Big-5-share table for any nationality, which is why 'destination concentration' was dropped as an index component (see methodology.md) rather than approximated from this partial list."
